"temp-outlet-0-rfile"
"Iteration" "temp-outlet-0"
("Iteration" "temp-outlet-0")
3 295.6692199707031
6 296.4362182617188
9 300.0257263183594
12 305.0432434082031
15 307.0605773925781
18 306.7056579589844
21 306.1797180175781
24 305.7118530273438
27 305.3052978515625
30 305.0314025878906
33 304.9043884277344
36 304.8721923828125
39 304.8928527832031
42 304.9333801269531
45 304.9873657226562
48 305.0272216796875
51 305.0572814941406
54 305.0738220214844
57 305.0865173339844
60 305.093994140625
63 305.1008911132812
66 305.1048278808594
69 305.1098022460938
72 305.114501953125
75 305.1178283691406
78 305.1192932128906
81 305.1192016601562
84 305.1186218261719
87 305.1181945800781
90 305.1181030273438
93 305.1181640625
96 305.1183166503906
99 305.1184997558594
102 305.1186828613281
105 305.1187438964844
108 305.1187744140625
111 305.1189270019531
114 305.1190490722656
